['Kate Bosworth' '2' '0']
['Emily Watson' '2' '1']
['Thomas Jane' '2' '2']
['Catherine Zeta-Jones' '2' '3']
['Frank Lagella' '2' '4']
['Christina Applegate' '2' '0']
['Ellen Barkin' '2' '1']
['Lee Cormie' '2' '2']
['Edward Norton' '2' '3']
['Toni Collette' '2' '4']
['WeedGuy' '2' '0']
['Geoffrey Rush' '2' '1']
['Matthew Knight' '2' '2']
['Jon Cryer' '2' '3']
['Rose Byrne' '2' '4']
['Amber Tamblyn' '2' '0']
['Ruth McCabe' '2' '1']
['Amanda Seyfried' '2' '2']
['Sean Penn' '2' '3']
['Alec Baldwin' '2' '4']
['Jesse Eisenberg' '2' '0']
['Jenny Wade' '2' '1']
['Imogen Poots' '2' '2']
['Jeff Daniels' '2' '3']
['Jason Alexander' '2' '4']
['Matt Dillon' '2' '0']
['Sarah Jessica Parker' '2' '1']
['Brendan Gleeson' '2' '2']
['Steve Martin' '2' '3']
['Armie Hammer' '2' '4']
['Molly Ringwald' '2' '0']
['Susan Sarandon' '2' '1']
['Chris Rock' '2' '2']
['Arielle Kebbel' '2' '3']
['Melissa McCarthy' '2' '4']
['Nikolaj Coster-Waldau' '2' '0']
['Max Minghella' '2' '1']
['Olivia Hussey' '2' '2']
['Derek Richardson' '2' '3']
['Tahndie Newton' '2' '4']
['Colin Egglesfield' '2' '0']
['Brad Pitt' '1' '1']
['Daniel Gillies' '1' '2']
['Chris Pine' '1' '3']
['Gil McKinney' '1' '4']
['Balthazar Getty' '1' '0']
['Jacqueline McKenzie' '1' '1']
['Harry Dean Stanton' '1' '2']
['Daniel Craig' '1' '3']
['Geraldine James' '1' '4']
['Dakota Fanning' '1' '0']
['Hector Elizondo' '1' '1']
['Bradley Cooper' '1' '2']
['Craig Robinson' '1' '3']
['Colin Firth' '1' '4']
['J.K. Simmons' '1' '0']
['Al Pacino' '1' '1']
['Aishwarya Rai Bachchan' '1' '2']
['David Paymer' '1' '3']
['Friend 4' '1' '4']
"[""Chris O'Dowd"" '1' '0']"
['Angelina Jolie' '1' '1']
['Cherry Jones' '1' '2']
['CheeringGuy' '1' '3']
['Edward Furlong' '1' '4']
['AngryWoman' '1' '0']
['Betsy Baker' '1' '1']
['Eddie Jemison' '1' '2']
['Dylan McDermott' '1' '3']
['AngryOldMan' '1' '4']
['Dougray Scott' '1' '0']
['Douglas McGrath' '1' '1']
['Amy Davidson' '1' '2']
['Donal Logue' '1' '3']
['Bianca Kajlich' '1' '4']
['Chris Evans' '1' '0']
['Eric Cantona' '1' '1']
['Eric Dane' '1' '2']
['Bill Pullman' '1' '3']
['Fiona Shaw' '1' '4']
['Beth Kennedy' '1' '1']
['Andrew Garfield' '1' '2']
['Clea DuVall' '1' '3']
['veryOldlady' '1' '4']
['Janet Montgomery' '1' '1']
['RememberMeSmallBoy' '1' '2']
['Shanna Collins' '1' '3']
['Sarah Roemer' '1' '4']
['Saffron Burrows' '1' '1']
['Rosario Dawson' '1' '2']
['Rooney Mara' '1' '3']
['Robert De Niro' '1' '4']
['Robbie Coltrane' '1' '1']
['Rhys Ifans' '1' '2']
['Rade Serbedzija' '1' '3']
['Shirley MacLaine' '1' '4']
['Police 1' '1' '1']
['Pierce Brosnan' '1' '2']
['Person 2' '1' '3']
['Pauline Collins' '1' '4']
['Owen Wilson' '1' '1']
['Olivia Wilde' '1' '2']
['Olivia Thirlby' '1' '3']
['Olga Merediz' '1' '4']
['Shaun Majumder' '1' '1']
['Simon Baker' '1' '2']
['Jason Behr' '1' '3']
['Tom Felton' '1' '4']
['asiangirl' '1' '1']
['Zach Cregger' '1' '2']
['Yôko Maki' '1' '3']
['YoungbY' '1' '4']
['William Mapother' '1' '1']
['Will Smith' '1' '2']
['Ving Rhames' '1' '3']
['Vera Farmiga' '1' '4']
['Thomas Kretschmann' '1' '1']
['Siu Ta' '1' '2']
['Thandie Newton' '1' '3']
['Taylor Lautner' '1' '4']
['Tanedra Howard' '1' '1']
['Tamer Hassan' '1' '2']
['Sydney Lassick' '1' '3']
['SurvivorGirlTVSaw3D' '1' '4']
['Stephen Moyer' '1' '1']
['Stanislav Ianevski' '1' '2']
['OldPhsyhMan' '1' '3']
['OldDoctor' '1' '4']
['Old Witch' '1' '1']
['Jon Cor' '1' '2']
['Karen Kuioka Hironaga' '1' '3']
['ellen sandweiss' '1' '4']
['Justin Bartha' '1' '1']
['Julianna Margulies' '1' '2']
['Judy Greer' '1' '3']
['Joseph Fiennes' '1' '4']
['Jonathan Sadowski' '1' '2']
['Jon Hamm' '1' '3']
['John Ortiz' '1' '4']
['Niki' '1' '2']
['John Krasinski' '1' '3']
['John Hannah' '1' '4']
['Jesse McCartney' '1' '2']
['Jeremy Piven' '1' '3']
['Jenny Gregg Stewart' '1' '4']
['Jennifer Garner' '1' '2']
['Jenna Fischer' '1' '3']
['Jeffrey Tambor' '1' '4']
['Karen Power' '1' '2']
['Katie Leung' '1' '3']
['Kerry Washington' '1' '4']
['Kevin McNulty' '1' '2']
['Nicolas Cage' '1' '3']
['Nick Krause' '1' '4']
['NanySeminarlady' '1' '2']
['MrsVermeer' '1' '3']
['Mr. Humphrey' '1' '4']
['Molly Stanton' '1' '2']
['Micheal Sheen' '1' '3']
['Michael Rapaport' '1' '4']
['Michael Cera' '1' '2']
['Megan Fox' '1' '3']
['Megan Charpentier' '1' '4']
['Meg Ryan' '1' '3']
['Man' '1' '4']
['Maggie Smith' '1' '4']
['Leonardo DiCaprio' '1' '4']
['Laura Linney' '1' '4']
['Kristen Stewart' '1' '4']
